bbrefID,mlbamID,name,team,pos,headshot_url,is_active
,684442,Kohl Drake,Arizona Diamondbacks,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/684442/headshot/67/current",True
gurrilo01,666971,Lourdes Gurriel Jr.,Arizona Diamondbacks,LF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/666971/headshot/67/current",True
kellyme01,518876,Merrill Kelly,Arizona Diamondbacks,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/518876/headshot/67/current",True
sorokmi01,647336,Michael Soroka,Arizona Diamondbacks,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/647336/headshot/67/current",True
,683352,Mitch Bratt,Arizona Diamondbacks,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/683352/headshot/67/current",True
smithpa04,656976,Pavin Smith,Arizona Diamondbacks,1B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/656976/headshot/67/current",True
abnerph01,691769,Philip Abner,Arizona Diamondbacks,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/691769/headshot/67/current",True
thompry02,657044,Ryan Thompson,Arizona Diamondbacks,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/657044/headshot/67/current",True
nelsory01,669194,Ryne Nelson,Arizona Diamondbacks,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/669194/headshot/67/current",True
tawati01,694374,Tim Tawa,Arizona Diamondbacks,2B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/694374/headshot/67/current",True
locklty01,682988,Tyler Locklear,Arizona Diamondbacks,1B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/682988/headshot/67/current",True
diazyi01,700270,Yilber Díaz,Arizona Diamondbacks,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/700270/headshot/67/current",True
wynnsau01,642851,Austin Wynns,Athletics,C,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/642851/headshot/67/current",True
,804556,Braden Nett,Athletics,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/804556/headshot/67/current",True
bassobr01,669620,Brady Basso,Athletics,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/669620/headshot/67/current",True
rookebr01,667670,Brent Rooker,Athletics,RF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/667670/headshot/67/current",True
harribr02,695391,Brett Harris,Athletics,3B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/695391/headshot/67/current",True
corteca01,666126,Carlos Cortes,Athletics,LF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/666126/headshot/67/current",True
,800018,Chen Zhong-Ao Zhuang,Athletics,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/800018/headshot/67/current",True
thomaco03,687515,Colby Thomas,Athletics,RF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/687515/headshot/67/current",True
hernada04,687231,Darell Hernaiz,Athletics,3B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/687231/headshot/67/current",True
clarkde02,672016,Denzel Clarke,Athletics,CF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/672016/headshot/67/current",True
nunezed03,674384,Eduarniel Núñez,Athletics,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/674384/headshot/67/current",True
alvarel01,665660,Elvis Alvarado,Athletics,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/665660/headshot/67/current",True
holmagr01,680880,Grant Holman,Athletics,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/680880/headshot/67/current",True
hoglugu01,680684,Gunnar Hoglund,Athletics,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/680684/headshot/67/current",True
,692013,Henry Baez,Athletics,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/692013/headshot/67/current",True
harriho03,663687,Hogan Harris,Athletics,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/663687/headshot/67/current",True
ginnjt01,669372,J.T. Ginn,Athletics,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/669372/headshot/67/current",True
perkija01,678022,Jack Perkins,Athletics,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/678022/headshot/67/current",True
lopezja04,682052,Jacob Lopez,Athletics,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/682052/headshot/67/current",True
wilsoja05,805779,Jacob Wilson,Athletics,SS,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/805779/headshot/67/current",True
mcneije01,643446,Jeff McNeil,Athletics,2B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/643446/headshot/67/current",True
sprinje01,605488,Jeffrey Springs,Athletics,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/605488/headshot/67/current",True
estesjo01,683155,Joey Estes,Athletics,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/683155/headshot/67/current",True
,678577,Junior Perez,Athletics,CF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/678577/headshot/67/current",True
sternju01,686993,Justin Sterner,Athletics,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/686993/headshot/67/current",True
butlela01,671732,Lawrence Butler,Athletics,RF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/671732/headshot/67/current",True
medinlu02,665622,Luis Medina,Athletics,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/665622/headshot/67/current",True
morallu01,806960,Luis Morales,Athletics,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/806960/headshot/67/current",True
