bbrefID,mlbamID,name,team,pos,headshot_url
blancro01,669854,Ronel Blanco,Houston Astros,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/669854/headshot/67/current"
,680802,Ryan Weiss,Houston Astros,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/680802/headshot/67/current"
whitcsh01,694376,Shay Whitcomb,Houston Astros,LF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/694376/headshot/67/current"
arrigsp01,681293,Spencer Arrighetti,Houston Astros,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/681293/headshot/67/current"
okertst01,595345,Steven Okert,Houston Astros,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/595345/headshot/67/current"
diazya02,673237,Yainer Diaz,Houston Astros,C,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/673237/headshot/67/current"
alvaryo01,670541,Yordan Alvarez,Houston Astros,LF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/670541/headshot/67/current"
coleza01,805904,Zach Cole,Houston Astros,CF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/805904/headshot/67/current"
dezenza01,701305,Zach Dezenzo,Houston Astros,LF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/701305/headshot/67/current"
marshal01,679525,Alec Marsh,Kansas City Royals,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/679525/headshot/67/current"
langeal01,656638,Alex Lange,Kansas City Royals,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/656638/headshot/67/current"
falteba01,663559,Bailey Falter,Kansas City Royals,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/663559/headshot/67/current"
,695667,Ben Kudrna,Kansas City Royals,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/695667/headshot/67/current"
wittbo02,677951,Bobby Witt Jr.,Kansas City Royals,SS,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/677951/headshot/67/current"
estevca01,608032,Carlos Estévez,Kansas City Royals,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/608032/headshot/67/current"
jenseca01,695600,Carter Jensen,Kansas City Royals,C,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/695600/headshot/67/current"
raganco01,666142,Cole Ragans,Kansas City Royals,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/666142/headshot/67/current"
blancda02,680118,Dairon Blanco,Kansas City Royals,CF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/680118/headshot/67/current"
