"model","term","odds_ratio","conf.low","conf.high","p.value","significant"
"1. Market Only","Medium",0.974403530905241,0.614531952696523,1.58669066907362,0.914295543699237,""
"1. Market Only","Large",1.25745682323688,0.814382361614241,2.00694448448892,0.31742265377198,""
"2. + Player Stats","Medium",0.837192643972835,0.421214473043539,1.70290197632642,0.616867306517275,""
"2. + Player Stats","Large",1.11099388878752,0.5865616363646,2.17747340436014,0.752342755005895,""
"3. + Team Success","Medium",0.823206070503211,0.412609056011119,1.68027044889131,0.585843305740385,""
"3. + Team Success","Large",0.732976338691153,0.359046954326183,1.52534689774625,0.39835774001796,""
"4. + Era","Medium",0.928009202693737,0.434379261201786,2.0394431832632,0.849327123368638,""
"4. + Era","Large",0.928591485781464,0.42654349381165,2.07248457352807,0.853779757638156,""
